Name,Size,Type,Tag,Alignment,CR,[PH],Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,Source,Page
Auspicia Dran,Medium,Humanoid,Half-Elf,Neutral Good,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,208
Chaos Quadrapod,Large,Aberration,,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,x,Acquisitions Incorporated,209
Clockwork Dragon,Medium,Construct,,Neutral,1,,,,,,,,,,,,,,,,,,ø,,Acquisitions Incorporated,209
Deep Crow,Large,Monstrosity,,Unaligned,9,,,,,,,,,,,,,,,,x,,,,Acquisitions Incorporated,210
Ancient Deep Crow,Huge,Monstrosity,,Unaligned,15,,,x,,,,,,,,,,,,,x,,,,Acquisitions Incorporated,211
Keg Robot,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,ø,,Acquisitions Incorporated,212
Splugoth the Returned,Small,Humanoid,Goblinoid,Neutral Evil,2,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,213
Tiamat,Gargantuan,Fiend,,Chaotic Evil,30,,x,x,,x,,,,,,,,,,,,,,ø,Baldur's Gate: Descent into Avernus,151
Crockek'toeck,Gargantuan,Fiend,Demon,Chaotic Evil,14,,,,,,,,,,,,,,,,,,,ø,Baldur's Gate: Descent into Avernus,230
Black Guantlet of Bane,Medium,Humanoid,Human,Lawful Evil,6,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,232
Fist of Bane,Medium,Humanoid,Human,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,232
Iron Consul,Medium,Humanoid,Human,Lawful Evil,2,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,232
Death's Head of Bhaal,Medium,Humanoid,Human,Chaotic Evil,5,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233
Night Blade,Medium,Humanoid,Human,Chaotic Evil,1/4,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233
Reaper of Bhaal,Medium,Humanoid,Human,Chaotic Evil,2,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233
Master of Souls,Medium,Humanoid,Human,Neutral Evil,4,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,234
Necromite of Myrkul,Medium,Humanoid,Human,Neutral Evil,1/2,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,234
Skull Lasher of Myrkul,Medium,Humanoid,Human,Neutral Evil,1,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,234
Fiendish Flesh Golem,Large,Construct,,Unaligned,8,,,,,,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,236
Hellwasp,Large,Fiend,,Lawful Evil,5,,,,,,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,236
Hollyphant,Small,Celestial,,Lawful Good,5,,x,,,,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,237
Tressym,Tiny,Monstrosity,,Chaotic Neutral,0,,,,,,o,,,,,,,,,,,,,,Baldur's Gate: Descent into Avernus,241
Archduke Zariel of Avernus,Large,Fiend,Devil,Lawful Evil,26,,x,x,,x,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,243
Master Sage,Medium,Humanoid,Any Race,Not Provided,5,,x,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,9
Sage,Medium,Humanoid,Any Race,Not Provided,1/2,,x,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,9
Miirym,Large,Undead,,Not Provided,22,,x,x,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,16
Swarm of Animated Books,Medium,Construct,Swarm,Not Provided,1/4,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,19
Animated Broom,Small,Construct,,Not Provided,1/4,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,20
Mimic Chair,Medium,Monstrosity,Shapechanger,Neutral,2,,,,,,,,,,,,,,,,x,,ø,,Candlekeep Mysteries,22
Animated Chained Library,Large,Construct,,Not Provided,1,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,24
Gingwatzim,Small,Aberration,Shapechanger,Not Provided,2,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,,Candlekeep Mysteries,27
Varnyr,Medium,Humanoid,Elf,Chaotic Good,1/8,,,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,63
K'Tulah,Medium,Humanoid,Tabaxi,Neutral Good,2,,x,,,x,,,x,,,,,,,,,,,,Candlekeep Mysteries,64
Shemshime,Medium,Undead,,Not Provided,4,,,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,69
Hag of the Fetid Gaze,Medium,Fey,,Neutral Evil,5,,x,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,76
Grippli Warrior,Small,Humanoid,Grippli,Not Provided,1/4,,,,,,,,,,,ø,,,,ø,,,,,Candlekeep Mysteries,99
Faerl,Medium,Humanoid,Elf,Neutral Evil,1/8,,,,,x,,,,,,,,,,,,,,,Candlekeep Mysteries,104
Corrupted Avatar of Lurue,Large,Monstrosity,,Not Provided,8,,,,,,,,,,,ø,,,,,,,,ø,Candlekeep Mysteries,123
Lightning Golem,Medium,Construct,,Neutral,5,,,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,129
Ram Sugar,Medium,Humanoid,Dragonborn,Chaotic Neutral,2,,x,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,132
Kiddywidget,Small,Construct,,Not Provided,1/2,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,136
Skitterwidget,Medium,Construct,,Not Provided,5,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,136
Zikran,Medium,Humanoid,Water Genasi,Neutral Evil,12,,x,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,145
Cloud Giant Ghost,Huge,Undead,,Not Provided,9,,x,,,,,,,,,,,,ø,,,,,,Candlekeep Mysteries,146
Constructed Commoner,Medium,Construct,,Not Provided,0,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,149
Arrant Quill,Medium,Humanoid,Human,Neutral Evil,11,,x,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,156
Steel Crane,Medium,Humanoid,Human,Lawful Evil,8,,,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,164
Immortal Lotus Monk,Medium,Humanoid,,Not Provided,5,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,165
Jade Tigress,Medium,Humanoid,Human,Lawful Evil,8,,,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,166
Bak Mei,Medium,Humanoid,Human,Lawful Evil,13,,,x,,x,,,,,,ø,,,,,,,ø,,Candlekeep Mysteries,168
Canopic Golem,Large,Construct,,Not Provided,13,,,,,,,,,,ø,,,,,,,,,,Candlekeep Mysteries,179
Valin Sarnaster,Medium,Undead,,Lawful Evil,16,,x,x,x,x,,,,,x,,,,,,,,,,Candlekeep Mysteries,182
Wood Elf Wizard,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,,,,,,,ø,,,,,x,,,,Candlekeep Mysteries,187
Nintra Siotta,Large,Fey,,Chaotic Evil,16,,x,x,x,x,,,,,,,,,,,,,,,Candlekeep Mysteries,197
Sapphire Sentinel,Large,Construct,,Unaligned,10,,,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,201
Dragon Tortoise,Gargantuan,Dragon,,Neutral,17,,,,,x,,,,x,,,,,,,,ø,,,Candlekeep Mysteries,205
Storm Giant Skeleton,Huge,Undead,,Not Provided,16,,,,,,,,,ø,,,,,ø,,,ø,,,Candlekeep Mysteries,208
Zikzokrishka,Huge,Undead,,Lawful Evil,17,,,x,x,x,,,,,x,,,,ø,,,,,,Candlekeep Mysteries,209
Fungal Servant,Medium,Undead,,Lawful Evil,15,,x,x,,,,,,,,,,,,,,,,,Candlekeep Mysteries,217
Parasite Infested Behir,Huge,Undead,,Neutral Evil,11,,,,,,,,,,,,,,,,x,,,,Candlekeep Mysteries,220
Lichen Lich,Medium,Undead,,Not Provided,18,,x,x,x,,,,ø,ø,ø,ø,ø,ø,ø,ø,,,,,Candlekeep Mysteries,223
Aatxe,Large,Celestial,Shapechanger,Lawful Good,5,,,x,x,,,,,,,,x,,,,,,x,,Creature Codex,7
Acid Ant,Small,Monstrosity,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,8
Agnibarra,Small,Monstrosity,,Chaotic Neutral,1,,,,,,,,,,,,,,x,,,,,,Creature Codex,9
Ahuizotl,Small,Monstrosity,,Unaligned,2,,,,,,,,,x,,,,,,,,x,,,Creature Codex,10
Ahu-Nixta,Large,Aberration,,Neutral Evil,3,,x,,,,,,,,,,,,,,,,,x,Creature Codex,11
Alkonost,Small,Monstrosity,,Neutral,1/2,,,,,,v,,,x,,,,,x,,,,,,Creature Codex,12
Alliumite,Small,Plant,,Chaotic Neutral,1/4,,,,,,,,,,,,x,,,,,,,,Creature Codex,13
Alp,Small,Fey,Shapechanger,Chaotic Evil,1,,x,,,,,,,,,,x,,,,,,,,Creature Codex,14
Ammut,Large,Celestial,,Neutral,9,,,,,,,,,,x,,,x,,,,,,,Creature Codex,15
Eye of the Gods,Small,Celestial,Angel,Any,1,,,,,,,,,,,,,,,,,,,x,Creature Codex,16
Kinnara,Medium,Celestial,Angel,Lawful Good,3,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,17
Ophanim,Large,Celestial,Angel,Lawful Good,16,,x,,,,,,,,,,,,,,,,,x,Creature Codex,18
Sammael,Medium,Celestial,Angel,Neutral Good,7,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,19
Song Angel,Large,Celestial,Angel,Lawful Good,6,,x,,,,,,,,,,,,,,,,,x,Creature Codex,20
Zoryas,Medium,Celestial,Angel,Lawful Good,8,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,21
Bat King,Small,Fey,"Animal Lord, Shapechanger",Neutral,13,,x,x,,x,,,,,,,,,,,,,x,,Creature Codex,22
Brother Ox,Huge,Fey,"Animal Lord, Shapechanger",Lawful Neutral,16,,,x,x,x,,,,,,,,x,x,,,,,,Creature Codex,24
Lord of Vultures,Large,Fey,"Animal Lord, Shapechanger",Neutral Good,12,,x,x,,x,,,,,,,,,x,,,,,,Creature Codex,26
Mouse King,Small,Fey,"Animal Lord, Shapechanger",Neutral,11,,x,x,x,x,,,,,,,,,,,,,x,,Creature Codex,28
Queen of Birds,Large,Fey,"Animal Lord, Shapechanger",Chaotic Neutral,14,,x,x,x,x,,,,,,,,,,,,,,,Creature Codex,30
Queen of Cats,Large,Fey,"Animal Lord, Shapechanger",Chaotic Good,15,,x,x,x,x,,,,,,,,,,,,,x,,Creature Codex,32
Queen of Serpents,Medium,Fey,"Animal Lord, Shapechanger",Lawful Neutral,12,,x,x,,x,,,,,,,,,x,,,,,,Creature Codex,34
Ankou Soul Herald,Gargantuan,Dragon,,Neutral,21,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,37
Ankou Soul Seeker,Large,Dragon,,Neutral,8,,,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,38
Anophiloi,Small,Monstrosity,,Neutral,1,,,,,,,,,,,x,x,,,,,,,,Creature Codex,39
Arborcyte,Large,Plant,,Chaotic Neutral,8,,,,,,,,,,,x,x,,,,,,,,Creature Codex,40
Arcamag,Tiny,Monstrosity,Shapechanger,Neutral,2,,,,,,,,,,,,,,,,,,x,,Creature Codex,41
Arcanaphage,Medium,Monstrosity,,Unaligned,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,42
Astral Snapper,Medium,Aberration,,Neutral Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,43
Azeban,Medium,Fey,,Chaotic Neutral,4,,x,,,,,,,,,x,,,,,,,,,Creature Codex,44
Azi Dahaka,Huge,Dragon,,Chaotic Evil,14,,,x,,x,,,,,,,,,,,,,,,Creature Codex,45
Baba Yaga,Medium,Fey,,Chaotic Neutral,20,,x,x,,x,,,,,,,,,,,,,,,Creature Codex,46
Iron Teeth of Baba Yaga,Tiny,Fey,,Chaotic Neutral,2,,x,,,,,,,,,x,,,,,,,,,Creature Codex,47
Bar Brawl,Huge,Humanoid,Swarm,Unaligned,3,,,,,,,,,,,,,,,,,,x,,Creature Codex,48
Barong,Large,Celestial,,Lawful Good,17,,,x,,x,,,,,,,,,,,,,,x,Creature Codex,49
Giant Albino Bat,Huge,Monstrosity,,Neutral Evil,3,,,,,,,,,,,x,x,,x,,x,,,,Creature Codex,50
Giant Vampire Bat,Large,Beast,,Unaligned,2,,,,,,,,,,,x,x,,x,,x,,,,Creature Codex,50
Bearfolk Chieftan,Medium,Humanoid,Bearfolk,Chaotic Good,6,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,51
Bearmit Crab,Large,Monstrosity,,Unaligned,2,,,,,,,,,x,,,,,,,,,,,Creature Codex,52
Bilwis,Medium,Elemental,,Chaotic Evil,1,,,,,,,,,,,,x,,,,,,,,Creature Codex,53
Bloody Bones,Medium,Monstrosity,,Chaotic Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,54
Bookkeeper,Tiny,Construct,,Unaligned,1/8,,,,,,,,,,,,,,,,,,x,,Creature Codex,55
Boot Grabber,Small,Aberration,,Neutral,1/2,,,,,,,,,,,,,,,,x,,,,Creature Codex,56
Carbuncle,Small,Monstrosity,,Chaotic Good,1,,,,,,,,,,,x,,,,,,,,,Creature Codex,57
Cats of Ulthar,Huge,Beast,Swarm,Unaligned,4,,,,,,,,,,,,x,,,,,,x,,Creature Codex,58
Cauldronborn,Small,Construct,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,59
Centaur Chieftan,Large,Monstrosity,,Chaotic Neutral,5,,,,,,,,,,,,x,x,,,,,,,Creature Codex,60
Child of Yggdrasil,Large,Aberration,,Neutral Evil,6,,,,,,,,,,,x,,,,,,,,,Creature Codex,61
Chuhaister,Large,Giant,,Chaotic Evil,7,,,,,,,,,,,x,,,,,,,,,Creature Codex,62
Chupacabra,Small,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,x,x,,,,,,,Creature Codex,63
Clockwork Assassin,Medium,Construct,,Unaligned,6,,,,,,,,,,,,,,,,,,x,,Creature Codex,64
Clockwork Servant,Medium,Construct,,Unaligned,1/8,,,,,,,,,,,,,,,,,,x,,Creature Codex,65
Clockwork Soldier,Medium,Construct,,Unaligned,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,65
Corpse Thief,Medium,Humanoid,,Neutral,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,66
Crimson Mist,Medium,Undead,,Chaotic Evil,6,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,67
Cueyatl,Small,Humanoid,,Lawful Evil,1/2,,,,,,,,,x,,,,,,,,,,,Creature Codex,68
Cueyatl Moon Priest,Small,Humanoid,,Lawful Evil,5,,x,,,,,,,x,,,,,,,,,,,Creature Codex,68
Cueyatl Sea Priest,Small,Humanoid,,Lawful Evil,1,,x,,,,,,,x,,,,,,,,,,,Creature Codex,69
Cueyatl Warrior,Small,Humanoid,,Lawful Evil,1,,,,,,,,,x,,,,,,,,,,,Creature Codex,69
Simhamukha,Huge,Celestial,Dakini,Chaotic Good,8,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,70
Dark Father,Large,Undead,,Lawful Neutral,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,71
Dark Eye,Medium,Humanoid,Dark Folk,Neutral Evil,3,,,,,,,,,,,,,,,,,,x,,Creature Codex,72
Dark Servant,Medium,Humanoid,Dark Folk,Neutral Evil,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,72
Dark Voice,Medium,Humanoid,Dark Folk,Neutral Evil,5,,,,,,,,,,,,,,,,,,x,,Creature Codex,73
"Chemosh, Demon Lord of Conquest",Huge,Fiend,"Demon, Demon Lord",Chaotic Evil,19,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,75
"Chittr'k'k, Demon Lord of Rats",Medium,Fiend,"Demon, Demon Lord",Chaotic Evil,13,,,x,x,x,,,,,,,,,,,,,,x,Creature Codex,76
"Rangda, Demon Lord of Witches",Large,Fiend,"Demon, Demon Lord",Chaotic Evil,17,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,78
"Typhon, Father of Monsters",Gargantuan,Fiend,"Demon, Demon Lord",Chaotic Evil,22,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,80
Alnaar,Large,Fiend,Demon,Chaotic Evil,9,,,,,,,,,,,,,,,,,,,x,Creature Codex,82
Cipactli,Medium,Fiend,Demon,Chaotic Evil,5,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,83
Echo,Medium,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,x,,,,Creature Codex,84
Fulad-Zereh,Huge,Fiend,Demon,Chaotic Evil,9,,,,,,,,,,,,,,,,,,,x,Creature Codex,85
Neophron,Medium,Fiend,"Demon, Shapechanger",Chaotic Evil,8,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,86
Pishacha,Medium,Fiend,Shapechanger,Chaotic Evil,3,,,,,,,,,,,,,,,,,,,x,Creature Codex,88
Plaresh,Medium,Fiend,"Demon, Swarm",Chaotic Evil,3,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,89
Rattok,Small,Fiend,Demon,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,90
Spree,Small,Fiend,Demon,Chaotic Evil,5,,,,,,,,,,,,,,,,,,x,,Creature Codex,91
Vellso,Medium,Fiend,Demon,Chaotic Evil,7,,,,,,,,,,,,,,,,,,,x,Creature Codex,92
Wind Demon,Small,Fiend,Demon,Chaotic Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,93
Alpha Yek,Medium,Fiend,Demon,Chaotic Evil,9,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,95
Yek,Small,Fiend,Demon,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,95
Speaker to the Darkness,Small,Humanoid,Derro,Chaotic Evil,5,,,,,,,,,,,,,,,,x,,,,Creature Codex,96
Witch Queen,Small,Humanoid,Derro,Chaotic Evil,5,,x,,,,,,,,,,,,,,x,,,,Creature Codex,97
Devil Shark,Gargantuan,Monstrosity,,Neutral Evil,13,,,,,,,,,,,,,,,,,x,,,Creature Codex,98
"Belphegor, Hell's Inventor",Huge,Fiend,"Devil, Archdevil",Lawful Evil,22,,,x,,x,,,,,,,,,,,,,,x,Creature Codex,100
"Parzelon, King of Secrets",Huge,Fiend,"Devil, Archdevil",Lawful Evil,25,,x,x,,x,,,,,,,,,,,,,,x,Creature Codex,101
Spawn of Parzelon,Medium,Fiend,Devil,Lawful Evil,5,,x,,,,,,,,,,,,,,,,,x,Creature Codex,102
Fire Imp,Tiny,Fiend,Devil,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,,x,Creature Codex,103
Infernal Knight,Medium,Fiend,Devil,Lawful Evil,16,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,104
Wind's Harp,Medium,Fiend,Devil,Lawful Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,105
Dhampir,Medium,Humanoid,Dhampir,Any,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,106
Dhampir Commander,Medium,Humanoid,Dhampir,Any,7,,,,,,,,,,,,,,,,,,x,,Creature Codex,107
Archaeopteryx,Tiny,Beast,Dinosaur,Unaligned,1/4,,,,,,,,,x,,x,,,,x,,,,,Creature Codex,108
Lystrosaurus,Medium,Beast,Dinosaur,Unaligned,2,,,,,,,,,,,,x,,,,,,,,Creature Codex,108
Nodosaurus,Large,Beast,Dinosaur,Unaligned,1,,,,,,,,,,,,x,,,x,,,,,Creature Codex,109
Dracotaur,Large,Dragon,,Chaotic Neutral,6,,,,,,,,,,,,x,x,,,,,,,Creature Codex,110
One-Headed Clockwork Dragon,Large,Construct,,Unaligned,8,,,,,,,,,,,,,,,,,,x,,Creature Codex,111
Three-Headed Clockwork Dragon,Huge,Construct,,Unaligned,14,,,,,,,,,,,,,,,,,,x,,Creature Codex,112
Light Dragon Wyrmling,Medium,Dragon,,Neutral Good,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,113
Adult Light Dragon,Huge,Dragon,,Neutral Good,16,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,114
Young Light Dragon,Large,Dragon,,Neutral Good,7,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,114
Ancient Light Dragon,Gargantuan,Dragon,,Neutral Good,22,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,116
Wasteland Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,3,,,,,,,,,,,,,x,,,,,,,Creature Codex,118
Young Wasteland Dragon,Large,Dragon,,Chaotic Evil,9,,,,,,,,,,,,,x,,,,,,,Creature Codex,118
Adult Wasteland Dragon,Huge,Dragon,,Chaotic Evil,17,,,x,x,,,,,,,,,x,,,,,,,Creature Codex,119
Ancient Wasteland Dragon,Gargantuan,Dragon,,Chaotic Evil,23,,,x,x,,,,,,,,,x,,,,,,,Creature Codex,120
Edjet,Medium,Humanoid,Dragonborn,Lawful Neutral,3,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,121
Elementalist,Medium,Humanoid,Dragonborn,Lawful Neutral,2,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,122
Heavy Cavalry,Medium,Humanoid,Dragonborn,Lawful Neutral,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,123
Light Cavalry,Medium,Humanoid,Dragonborn,Lawful Neutral,1,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,124
Ouroban,Medium,Humanoid,Dragonborn,Neutral Evil,11,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,125
Bathhouse Drake,Medium,Dragon,,Lawful Neutral,3,,x,,,,,,,,,,x,x,,,,,x,,Creature Codex,126
Fey Drake,Small,Dragon,,Chaotic Neutral,6,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,127
Forest Drake,Small,Dragon,,Neutral,2,,,,,,,,,,,x,,,,,,,,,Creature Codex,128
Moon Drake,Medium,Dragon,,Neutral,5,,,,,,,,,,,x,,,,,,,,,Creature Codex,129
Pact Drake,Small,Dragon,,Lawful Neutral,1,,x,,,,,,,,,,,,,,,,x,,Creature Codex,130
Peluda Drake,Large,Dragon,,Chaotic Neutral,3,,,,,,,,,,,x,,,,,,,,,Creature Codex,131
Skull Drake,Medium,Dragon,,Neutral,3,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,132
Spider Drake,Large,Dragon,,Lawful Evil,9,,,,,,,,,,,,,,,,x,,,,Creature Codex,133
Dream Squire,Medium,Fey,,Neutral,2,,,,,,,,,,,,,,,,x,,x,,Creature Codex,134
Dream Wraith,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,x,,,,,,x,,Creature Codex,135
Dust Goblin Cheiftan,Small,Humanoid,Goblin,Neutral Evil,3,,,,,,,,,,,,,x,,,,,,,Creature Codex,136
Dvarapala,Huge,Giant,,Any,5,,x,,,,,,,,,,,,,,,,x,,Creature Codex,137
Blood Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,,,,,,,,,,x,Creature Codex,138
Storm Lord,Huge,Elemental,,Neutral,13,,,,,,,,,x,,,,,,,,x,,,Creature Codex,139
Venom Elemental,Large,Elemental,,Neutral,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,140
Alchemist Archer,Medium,Humanoid,Elf,Any,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,141
Deathsworn,Medium,Humanoid,Elf,Chaotic Neutral,6,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,142
Enchanter,Medium,Humanoid,Elf,Any,7,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,143
Servant of the Vine,Medium,Humanoid,Elf,Chaotic Neutral,6,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,144
Shadow Fey Ambassador,Medium,Humanoid,Elf,Lawful Evil,9,,,,,,,,,,,,,,,,x,,x,,Creature Codex,145
Knight of the Road,Medium,Humanoid,Elf,Lawful Evil,5,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,146
Pattern Dancer,Medium,Humanoid,Elf,Chaotic Evil,2,,x,,,,,,,,,,,,,,x,,x,,Creature Codex,147
Shadow Fey Poisoner,Medium,Humanoid,Elf,Neutral,11,,,,,,,,,,,,,,,,x,,x,,Creature Codex,148
